match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR,match_id
South Africa vs England,South Africa,1,Reeza Hendricks,out,19,25,41,1,0,76.00,T20I # 2712
South Africa vs England,South Africa,2,Quinton de Kock,out,65,38,50,4,4,171.05,T20I # 2712
South Africa vs England,South Africa,3,Heinrich Klaasen,out,8,13,21,1,0,61.53,T20I # 2712
South Africa vs England,South Africa,4,David Miller,out,43,28,40,4,2,153.57,T20I # 2712
South Africa vs England,South Africa,5,Aiden Markram,out,1,2,4,0,0,50.00,T20I # 2712
South Africa vs England,South Africa,6,Tristan Stubbs,not out,12,11,28,1,0,109.09,T20I # 2712
South Africa vs England,South Africa,7,Marco Jansen,out,0,1,1,0,0,0.00,T20I # 2712
South Africa vs England,South Africa,8,Keshav Maharaj,not out,5,2,3,1,0,250.00,T20I # 2712
South Africa vs England,England,1,Phil Salt,out,11,8,8,1,1,137.50,T20I # 2712
South Africa vs England,England,2,Jos Buttler,out,17,20,38,1,0,85.00,T20I # 2712
South Africa vs England,England,3,Jonny Bairstow,out,16,20,20,1,0,80.00,T20I # 2712
South Africa vs England,England,4,Moeen Ali,out,9,10,15,0,0,90.00,T20I # 2712
South Africa vs England,England,5,Harry Brook,out,53,37,50,7,0,143.24,T20I # 2712
South Africa vs England,England,6,Liam Livingstone,out,33,17,33,3,2,194.11,T20I # 2712
South Africa vs England,England,7,Sam Curran,not out,10,7,14,1,0,142.85,T20I # 2712
South Africa vs England,England,8,Jofra Archer,not out,1,2,4,0,0,50.00,T20I # 2712
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Bangladesh vs Australia,Bangladesh,1,Tanzid Hasan,out,0,3,2,0,0,0.00,T20I # 2711
Bangladesh vs Australia,Bangladesh,2,Litton Das,out,16,25,42,2,0,64.00,T20I # 2711
Bangladesh vs Australia,Bangladesh,3,Najmul Hossain Shanto,out,41,36,57,5,1,113.88,T20I # 2711
Bangladesh vs Australia,Bangladesh,4,Rishad Hossain,out,2,4,5,0,0,50.00,T20I # 2711
Bangladesh vs Australia,Bangladesh,5,Towhid Hridoy,out,40,28,40,2,2,142.85,T20I # 2711
Bangladesh vs Australia,Bangladesh,6,Shakib Al Hasan,out,8,10,27,0,0,80.00,T20I # 2711
Bangladesh vs Australia,Bangladesh,7,Mahmudullah,out,2,3,7,0,0,66.66,T20I # 2711
Bangladesh vs Australia,Bangladesh,8,Mahedi Hasan,out,0,1,1,0,0,0.00,T20I # 2711
Bangladesh vs Australia,Bangladesh,9,Taskin Ahmed,not out,13,7,9,1,0,185.71,T20I # 2711
Bangladesh vs Australia,Bangladesh,10,Tanzim Hasan Sakib,not out,4,3,3,0,0,133.33,T20I # 2711
Bangladesh vs Australia,Australia,1,David Warner,not out,53,35,52,5,3,151.42,T20I # 2711
Bangladesh vs Australia,Australia,2,Travis Head,out,31,21,30,3,2,147.61,T20I # 2711
Bangladesh vs Australia,Australia,3,Mitchell Marsh,out,1,6,8,0,0,16.66,T20I # 2711
Bangladesh vs Australia,Australia,4,Glenn Maxwell,not out,14,6,12,1,1,233.33,T20I # 2711
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
West Indies vs U.S.A.,United States of America,1,Steven Taylor,out,2,7,5,0,0,28.57,T20I # 2713
West Indies vs U.S.A.,United States of America,2,Andries Gous,out,29,16,37,3,1,181.25,T20I # 2713
West Indies vs U.S.A.,United States of America,3,Nitish Kumar,out,20,19,23,2,0,105.26,T20I # 2713
West Indies vs U.S.A.,United States of America,4,Aaron Jones,out,11,11,12,0,1,100.00,T20I # 2713
West Indies vs U.S.A.,United States of America,5,Corey Anderson,out,7,15,23,0,0,46.66,T20I # 2713
West Indies vs U.S.A.,United States of America,6,Milind Kumar,out,19,21,35,1,0,90.47,T20I # 2713
West Indies vs U.S.A.,United States of America,7,Harmeet Singh,out,0,1,1,0,0,0.00,T20I # 2713
West Indies vs U.S.A.,United States of America,8,Shadley van Schalkwyk,out,18,17,17,3,0,105.88,T20I # 2713
West Indies vs U.S.A.,United States of America,9,Nosthush Kenjige,out,1,3,8,0,0,33.33,T20I # 2713
West Indies vs U.S.A.,United States of America,10,Ali Khan,not out,14,6,11,1,1,233.33,T20I # 2713
West Indies vs U.S.A.,West Indies,1,Shai Hope,not out,82,39,-,4,8,210.25,T20I # 2713
West Indies vs U.S.A.,West Indies,2,Johnson Charles,out,15,14,-,2,0,107.14,T20I # 2713
West Indies vs U.S.A.,West Indies,3,Nicholas Pooran,not out,27,12,-,1,3,225.00,T20I # 2713
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
India vs Afghanistan,India,1,Rohit Sharma,out,8,13,13,1,0,61.53,T20I # 2710
India vs Afghanistan,India,2,Virat Kohli,out,24,24,41,0,1,100.00,T20I # 2710
India vs Afghanistan,India,3,Rishabh Pant,out,20,11,20,4,0,181.81,T20I # 2710
India vs Afghanistan,India,4,Suryakumar Yadav,out,53,28,51,5,3,189.28,T20I # 2710
India vs Afghanistan,India,5,Shivam Dube,out,10,7,11,0,1,142.85,T20I # 2710
India vs Afghanistan,India,6,Hardik Pandya,out,32,24,40,3,2,133.33,T20I # 2710
India vs Afghanistan,India,7,Ravindra Jadeja,out,7,5,11,1,0,140.00,T20I # 2710
India vs Afghanistan,India,8,Axar Patel,out,12,6,11,2,0,200.00,T20I # 2710
India vs Afghanistan,India,9,Arshdeep Singh,not out,2,2,8,0,0,100.00,T20I # 2710
India vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,out,11,8,7,1,1,137.50,T20I # 2710
India vs Afghanistan,Afghanistan,2,Hazratullah Zazai,out,2,4,20,0,0,50.00,T20I # 2710
India vs Afghanistan,Afghanistan,3,Ibrahim Zadran,out,8,11,9,1,0,72.72,T20I # 2710
India vs Afghanistan,Afghanistan,4,Gulbadin Naib,out,17,21,25,1,1,80.95,T20I # 2710
India vs Afghanistan,Afghanistan,5,Azmatullah Omarzai,out,26,20,26,2,1,130.00,T20I # 2710
India vs Afghanistan,Afghanistan,6,Najibullah Zadran,out,19,17,22,0,2,111.76,T20I # 2710
India vs Afghanistan,Afghanistan,7,Mohammad Nabi,out,14,14,24,0,1,100.00,T20I # 2710
India vs Afghanistan,Afghanistan,8,Rashid Khan,out,2,6,11,0,0,33.33,T20I # 2710
India vs Afghanistan,Afghanistan,9,Noor Ahmad,out,12,18,19,1,1,66.66,T20I # 2710
India vs Afghanistan,Afghanistan,10,Naveen-ul-Haq,out,0,1,1,0,0,0.00,T20I # 2710
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
West Indies vs England,West Indies,1,Brandon King,not out,23,13,23,3,1,176.92,T20I # 2709
West Indies vs England,West Indies,2,Johnson Charles,out,38,34,55,4,1,111.76,T20I # 2709
West Indies vs England,West Indies,3,Nicholas Pooran,out,36,32,53,4,1,112.50,T20I # 2709
West Indies vs England,West Indies,4,Rovman Powell,out,36,17,18,0,5,211.76,T20I # 2709
West Indies vs England,West Indies,5,Andre Russell,out,1,2,7,0,0,50.00,T20I # 2709
West Indies vs England,West Indies,6,Sherfane Rutherford,not out,28,15,20,1,2,186.66,T20I # 2709
West Indies vs England,West Indies,7,Romario Shepherd,not out,5,7,16,1,0,71.42,T20I # 2709
West Indies vs England,England,1,Phil Salt,not out,87,47,79,7,5,185.10,T20I # 2709
West Indies vs England,England,2,Jos Buttler,out,25,22,34,2,0,113.63,T20I # 2709
West Indies vs England,England,3,Moeen Ali,out,13,10,9,2,0,130.00,T20I # 2709
West Indies vs England,England,4,Jonny Bairstow,not out,48,26,32,5,2,184.61,T20I # 2709
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
P.N.G. vs New Zealand,Papua New Guinea,1,Tony Ura,out,1,2,6,0,0,50.00,T20I # 2702
P.N.G. vs New Zealand,Papua New Guinea,2,Assad Vala,out,6,16,19,1,0,37.50,T20I # 2702
P.N.G. vs New Zealand,Papua New Guinea,3,Charles Amini,out,17,25,40,2,0,68.00,T20I # 2702
P.N.G. vs New Zealand,Papua New Guinea,4,Sese Bau,out,12,27,32,1,0,44.44,T20I # 2702
P.N.G. vs New Zealand,Papua New Guinea,5,Hiri Hiri,out,7,11,16,1,0,63.63,T20I # 2702
P.N.G. vs New Zealand,Papua New Guinea,6,Chad Soper,out,1,6,4,0,0,16.66,T20I # 2702
P.N.G. vs New Zealand,Papua New Guinea,7,Kiplin Doriga,out,5,7,14,1,0,71.42,T20I # 2702
P.N.G. vs New Zealand,Papua New Guinea,8,Norman Vanua,out,14,13,15,1,1,107.69,T20I # 2702
P.N.G. vs New Zealand,Papua New Guinea,9,Alei Nao,out,3,7,14,0,0,42.85,T20I # 2702
P.N.G. vs New Zealand,Papua New Guinea,10,Kabua Morea,out,0,3,3,0,0,0.00,T20I # 2702
P.N.G. vs New Zealand,New Zealand,1,Finn Allen,out,0,2,3,0,0,0.00,T20I # 2702
P.N.G. vs New Zealand,New Zealand,2,Devon Conway,out,35,32,45,2,3,109.37,T20I # 2702
P.N.G. vs New Zealand,New Zealand,3,Rachin Ravindra,out,6,11,15,0,0,54.54,T20I # 2702
P.N.G. vs New Zealand,New Zealand,4,Kane Williamson,not out,18,17,38,2,0,105.88,T20I # 2702
P.N.G. vs New Zealand,New Zealand,5,Daryl Mitchell,not out,19,12,13,3,0,158.33,T20I # 2702
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
South Africa vs U.S.A.,South Africa,1,Quinton de Kock,out,74,40,54,7,5,185.00,T20I # 2708
South Africa vs U.S.A.,South Africa,2,Reeza Hendricks,out,11,11,12,0,1,100.00,T20I # 2708
South Africa vs U.S.A.,South Africa,3,Aiden Markram,out,46,32,52,4,1,143.75,T20I # 2708
South Africa vs U.S.A.,South Africa,4,David Miller,out,0,1,1,0,0,0.00,T20I # 2708
South Africa vs U.S.A.,South Africa,5,Heinrich Klaasen,not out,36,22,35,0,3,163.63,T20I # 2708
South Africa vs U.S.A.,South Africa,6,Tristan Stubbs,not out,20,16,24,2,0,125.00,T20I # 2708
South Africa vs U.S.A.,United States of America,1,Steven Taylor,out,24,14,16,4,1,171.42,T20I # 2708
South Africa vs U.S.A.,United States of America,2,Andries Gous,not out,80,47,88,5,5,170.21,T20I # 2708
South Africa vs U.S.A.,United States of America,3,Nitish Kumar,out,8,6,9,0,1,133.33,T20I # 2708
South Africa vs U.S.A.,United States of America,4,Aaron Jones,out,0,5,4,0,0,0.00,T20I # 2708
South Africa vs U.S.A.,United States of America,5,Corey Anderson,out,12,12,10,0,1,100.00,T20I # 2708
South Africa vs U.S.A.,United States of America,6,Shayan Jahangir,out,3,9,51,0,0,33.33,T20I # 2708
South Africa vs U.S.A.,United States of America,7,Harmeet Singh,out,38,22,30,2,3,172.72,T20I # 2708
South Africa vs U.S.A.,United States of America,8,Jasdeep Singh,not out,2,6,7,0,0,33.33,T20I # 2708
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
West Indies vs Afghanistan,West Indies,1,Brandon King,out,7,6,9,1,0,116.66,T20I # 2703
West Indies vs Afghanistan,West Indies,2,Johnson Charles,out,43,27,43,8,0,159.25,T20I # 2703
West Indies vs Afghanistan,West Indies,3,Nicholas Pooran,out,98,53,86,6,8,184.90,T20I # 2703
West Indies vs Afghanistan,West Indies,4,Shai Hope,out,25,17,14,0,2,147.05,T20I # 2703
West Indies vs Afghanistan,West Indies,5,Rovman Powell,out,26,15,28,1,2,173.33,T20I # 2703
West Indies vs Afghanistan,West Indies,6,Andre Russell,not out,3,3,9,0,0,100.00,T20I # 2703
West Indies vs Afghanistan,West Indies,7,Sherfane Rutherford,not out,1,1,1,0,0,100.00,T20I # 2703
West Indies vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,out,0,3,1,0,0,0.00,T20I # 2703
West Indies vs Afghanistan,Afghanistan,2,Ibrahim Zadran,out,38,28,34,5,1,135.71,T20I # 2703
West Indies vs Afghanistan,Afghanistan,3,Gulbadin Naib,out,7,10,26,1,0,70.00,T20I # 2703
West Indies vs Afghanistan,Afghanistan,4,Azmatullah Omarzai,out,23,19,26,1,1,121.05,T20I # 2703
