Name,Team
Finn Allen,New Zealand
Devon Conway,New Zealand
Rachin Ravindra,New Zealand
Kane Williamson,New Zealand
Daryl Mitchell,New Zealand
Shayan Jahangir,United States of America
Jasdeep Singh,United States of America
Andy Balbirnie,Ireland
Paul Stirling,Ireland
Lorcan Tucker,Ireland
Harry Tector,Ireland
Curtis Campher,Ireland
George Dockrell,Ireland
Gareth Delany,Ireland
Mark Adair,Ireland
Barry McCarthy,Ireland
Josh Little,Ireland
Mohammad Rizwan,Pakistan
Saim Ayub,Pakistan
Babar Azam,Pakistan
Fakhar Zaman,Pakistan
Usman Khan,Pakistan
Shadab Khan,Pakistan
Imad Wasim,Pakistan
Abbas Afridi,Pakistan
Shaheen Shah Afridi,Pakistan
Pathum Nissanka,Sri Lanka
Kusal Mendis,Sri Lanka
Kamindu Mendis,Sri Lanka
Dhananjaya de Silva,Sri Lanka
Charith Asalanka,Sri Lanka
Angelo Mathews,Sri Lanka
Dasun Shanaka,Sri Lanka
Wanindu Hasaranga,Sri Lanka
Michael Levitt,Netherlands
Max O'Dowd,Netherlands
Vikramjit Singh,Netherlands
Sybrand Engelbrecht,Netherlands
Scott Edwards,Netherlands
Bas de Leede,Netherlands
Logan van Beek,Netherlands
Tim Pringle,Netherlands
Aryan Dutt,Netherlands
Paul van Meekeren,Netherlands
Kushal Bhurtel,Nepal
Aasif Sheikh,Nepal
Anil Sah,Nepal
Rohit Paudel,Nepal
Sundeep Jora,Nepal
Kushal Malla,Nepal
Dipendra Singh Airee,Nepal
Gulsan Jha,Nepal
Sompal Kami,Nepal
Sandeep Lamichhane,Nepal
George Munsey,Scotland
Michael Jones,Scotland
Brandon McMullen,Scotland
Richie Berrington,Scotland
Matthew Cross,Scotland
Michael Leask,Scotland
Chris Greaves,Scotland
Michael van Lingen,Namibia
Nikolaas Davin,Namibia
David Wiese,Namibia
Gerhard Erasmus,Namibia
JJ Smit,Namibia
Ronak Patel,Uganda
Simon Ssesazi,Uganda
Robinson Obuya,Uganda
Alpesh Ramjani,Uganda
Kenneth Waiswa,Uganda
Riazat Ali Shah,Uganda
Dinesh Nakrani,Uganda
Brian Masaba,Uganda
Fred Achelam,Uganda
Juma Miyagi,Uganda
Pratik Athavale,Oman
Kashyap Prajapati,Oman
Aqib Ilyas,Oman
Zeeshan Maqsood,Oman
Khalid Kail,Oman
Ayaan Khan,Oman
Shoaib Khan,Oman
Mehran Khan,Oman
Fayyaz Butt,Oman
Kaleemullah,Oman
Will Jacks,England
Glenn Phillips,New Zealand
James Neesham,New Zealand
Mitchell Santner,New Zealand
Tim Southee,New Zealand
Trent Boult,New Zealand
Lega Siaka,Papua New Guinea
John Kariko,Papua New Guinea
Jan Frylinck,Namibia
Zane Green,Namibia
Ruben Trumpelmann,Namibia
Bernard Scholtz,Namibia
Jack Brassell,Namibia
Aaron Johnson,Canada
Navneet Dhaliwal,Canada
Pargat Singh,Canada
Nicholas Kirton,Canada
Shreyas Movva,Canada
Ravinderpal Singh,Canada
Saad Bin Zafar,Canada
Kaleem Sana,Canada
Dilon Heyliger,Canada
Naseem Khushi,Oman
Rafiullah,Oman
Shakeel Ahmed,Oman
Jasprit Bumrah,India
Iftikhar Ahmed,Pakistan
Naseem Shah,Pakistan
Roger Mukasa,Uganda
Cosmas Kyewuta,Uganda
Teja Nidamanuru,Netherlands
Dilpreet Bajwa,Canada
Maheesh Theekshana,Sri Lanka
Matheesha Pathirana,Sri Lanka
Mark Chapman,New Zealand
Michael Bracewell,New Zealand
Matt Henry,New Zealand
Lockie Ferguson,New Zealand
Azam Khan,Pakistan
Haris Rauf,Pakistan
Monank Patel,United States of America
JP Kotze,Namibia
Malan Kruger,Namibia
Bilal Hassan,Uganda
Karan KC,Nepal
Sagar Dhakal,Nepal
Sadeera Samarawickrama,Sri Lanka
Mohammad Nadeem,Oman
Tabraiz Shamsi,South Africa
Kuldeep Yadav,India
Fazalhaq Farooqi,Afghanistan
Mustafizur Rahman,Bangladesh
Josh Hazlewood,Australia
Reece Topley,England
Saurabh Netravalkar,United States of America
Obed McCoy,West Indies
Mark Wood,England
Ottneil Baartman,South Africa
Ish Sodhi,New Zealand
Semo Kamea,Papua New Guinea
Abinash Bohara,Nepal
Vivian Kingma,Netherlands
Nuwan Thushara,Sri Lanka
Nathan Ellis,Australia
Brad Wheal,Scotland
Mark Watt,Scotland
Chris Sole,Scotland
Safyaan Sharif,Scotland
Bilal Khan,Oman
Mohammad Amir,Pakistan
Ben White,Ireland
Jeremy Gordon,Canada
Junaid Siddiqui,Canada
Mohammed Siraj,India
Ben Shikongo,Namibia
Frank Nsubuga,Uganda
Brad Currie,Scotland
Tangeni Lungameni,Namibia
Craig Young,Ireland
Henry Ssenyondo,Uganda
Mujeeb Ur Rahman,Afghanistan
Mark Wood,
Jofra Archer,
Moeen Ali,
Chris Jordan,
Adil Rashid,
Nikhil Dutta,Canada
